Movie,Award,Year_of_Award
Two Arabian Knights,Best Director,1927
The Divine Lady,Best Director,1930
All Quiet on the Western Front,Best Director,1931
Skippy,Best Director,1932
Bad Girl,Best Director,1933
Cavalcade,Best Director,1934
It Happened One Night,Best Director,1935
The Informer,Best Director,1936
Mr. Deeds Goes to Town,Best Director,1937
The Awful Truth,Best Director,1938
You Can't Take It with You,Best Director,1939
Gone with the Wind,Best Director,1940
The Grapes of Wrath,Best Director,1941
How Green Was My Valley,Best Director,1942
Mrs. Miniver,Best Director,1943
Casablanca,Best Director,1944
Going My Way,Best Director,1945
West Side Story,Best Director,1962
The Lost Weekend,Best Director,1946
The Best Years of Our Lives,Best Director,1947
Gentleman's Agreement,Best Director,1948
The Treasure of the Sierra Madre,Best Director,1949
A Letter to Three Wives,Best Director,1950
All About Eve,Best Director,1951
A Place in the Sun,Best Director,1952
The Quiet Man,Best Director,1953
From Here to Eternity,Best Director,1954
On the Waterfront,Best Director,1955
Marty,Best Director,1956
Giant,Best Director,1957
The Bridge on the River Kwai,Best Director,1958
Gigi,Best Director,1959
Ben-Hur,Best Director,1960
The Apartment,Best Director,1961
West Side Story,Best Director,1961
Lawrence of Arabia,Best Director,1963
Tom Jones,Best Director,1964
My Fair Lady,Best Director,1965
The Sound of Music,Best Director,1966
A Man for All Seasons,Best Director,1967
The Graduate,Best Director,1968
No Country for Old Men,Best Director,2008
Oliver!,Best Director,1969
Midnight Cowboy,Best Director,1969
Patton,Best Director,1970
The French Connection,Best Director,1972
Cabaret,Best Director,1973
The Sting,Best Director,1973
The Godfather Part II,Best Director,1975
One Flew over the Cuckoo's Nest,Best Director,1976
Rocky,Best Director,1976
Annie Hall,Best Director,1978
The Deer Hunter,Best Director,1979
Kramer vs. Kramer,Best Director,1980
Ordinary People,Best Director,1980
Reds,Best Director,1981
Gandhi,Best Director,1982
Terms of Endearment,Best Director,1983
Amadeus,Best Director,1985
Out of Africa,Best Director,1986
Platoon,Best Director,1990
The Last Emperor,Best Director,1988
Rain Man,Best Director,1989
Born on the Fourth of July,Best Director,1990
Dances with Wolves,Best Director,1991
The Silence of the Lambs,Best Director,1992
Unforgiven,Best Director,1993
Schindler's List,Best Director,1994
Forrest Gump,Best Director,1995
Braveheart,Best Director,1996
The English Patient,Best Director,1997
Titanic,Best Director,1998
Saving Private Ryan,Best Director,1999
American Beauty,Best Director,2000
Traffic,Best Director,2001
A Beautiful Mind,Best Director,2002
The Pianist,Best Director,2003
The Lord of the Rings: Return of the King,Best Director,2004
Million Dollar Baby,Best Director,2005
Brokeback Mountain,Best Director,2006
The Departed,Best Director,2007
No Country for Old Men,Best Director,2008
Slumdog Millionaire,Best Director,2009
The Hurt Locker,Best Director,2009
The King's Speech,Best Director,2011
The Artist,Best Director,2012
Life of Pi,Best Director,2013
The Last Command,Best Actor,1929
In Old Arizona,Best Actor,1930
Desraeli,Best Actor,1930
A Free Soul,Best Actor,1931
The Champ,Best Actor,1932
The Private Life of Henry VIII,Best Actor,1934
It Happened One Night,Best Actor,1935
The Informer,Best Actor,1936
The Story of Louis Pasteur,Best Actor,1937
Captains Courageous,Best Actor,1938
Boys Town,Best Actor,1939
Goodbye Mr. Chips,Best Actor,1940
The Philadelphia Story,Best Actor,1941
Sergeant York,Best Actor,1942
Yankee Doodle Dandy,Best Actor,1943
Watch on the Rhine,Best Actor,1944
Going My Way,Best Actor,1945
The Lost Weekend,Best Actor,1946
The Best Years of Our Lives,Best Actor,1947
A Double Life,Best Actor,1948
Hamlet,Best Actor,1949
All The King's Men,Best Actor,1950
Cyrano de Bergerac,Best Actor,1951
The Africa Queen,Best Actor,1952
High Noon,Best Actor,1953
Stalag 17,Best Actor,1954
On the Waterfront,Best Actor,1955
Marty,Best Actor,1956
The King and I,Best Actor,1957
The Bridge on the River Kwai,Best Actor,1958
Separate Tables,Best Actor,1959
Ben-hur,Best Actor,1960
Elmer Gantry,Best Actor,1961
Judgement at Nuremberg,Best Actor,1962
To Kill a Mockingbird,Best Actor,1963
Lilies of the Field,Best Actor,1964
My Fair Lady,Best Actor,1965
Cat Ballou,Best Actor,1966
A Man For All Seasons,Best Actor,1967
In the Heat of the Night,Best Actor,1968
Charly,Best Actor,1969
True Grit,Best Actor,1970
Patton,Best Actor,1971
The French Connection,Best Actor,1972
The Godfather,Best Actor,1973
Save the Tiger,Best Actor,1974
Harry and Tonto,Best Actor,1975
One Flew Over the Cuckoo's Nest,Best Actor,1976
Network,Best Actor,1977
The Goodbye Girl,Best Actor,1978
Coming Home,Best Actor,1979
Kramer vs. Kramer,Best Actor,1980
Raging Bull,Best Actor,1981
On Golden Pond,Best Actor,1982
Gandhi,Best Actor,1983
Tender Mercies,Best Actor,1984
Amadeus,Best Actor,1985
Kiss of the Spider Woman,Best Actor,1986
The Color of Money,Best Actor,1987
Wall Street,Best Actor,1988
Rainman,Best Actor,1989
My Left Foot,Best Actor,1990
Reversal of Fortune,Best Actor,1991
Silence of the Lambs,Best Actor,1992
Scent of a Woman,Best Actor,1993
Philadelphia,Best Actor,1994
Forrest Gump,Best Actor,1995
Leaving Las Vegas,Best Actor,1996
Shine,Best Actor,1997
As Good as It Gets,Best Actor,1997
Life is Beautiful,Best Actor,1999
American Beauty,Best Actor,2000
Gladiator,Best Actor,2001
Training Day,Best Actor,2002
The Pianist,Best Actor,2003
Mystic River,Best Actor,2003
Ray,Best Actor,2005
Capote,Best Actor,2006
The Last King of Scotland,Best Actor,2007
There Will Be Blood,Best Actor,2008
Milk,Best Actor,2009
Crazy Heart,Best Actor,2010
The King's Speech,Best Actor,2011
The Artist,Best Actor,2012
Lincoln,Best Actor,2013
Dallas Buyers Club,Best Actor,2014
Come and Get It,Best Supporting Actor,1938
The Life of Emile Zola,Best Supporting Actor,1938
Kentucky,Best Supporting Actor,1939
Stagecoach,Best Supporting Actor,1940
The Westerner,Best Supporting Actor,1941
How Green Was My Valley,Best Supporting Actor,1942
Johnny Eager,Best Supporting Actor,1943
The More the Merrier,Best Supporting Actor,1944
Going My Way,Best Supporting Actor,1945
A Tree Grows in Brooklyn,Best Supporting Actor,1946
The Best Years of Our Lives,Best Supporting Actor,1947
Miracle on 34th Street,Best Supporting Actor,1948
The Treasure of the Sierra Madre,Best Supporting Actor,1949
Twelve O'Clock High,Best Supporting Actor,1950
All About Eve,Best Supporting Actor,1951
A Streetcar Named Desire,Best Supporting Actor,1952
Viva Zapata!,Best Supporting Actor,1953
From Here to Eternity,Best Supporting Actor,1954
The Barefoot Contessa,Best Supporting Actor,1955
Mister Roberts,Best Supporting Actor,1956
Lust for Life,Best Supporting Actor,1957
Sayonara,Best Supporting Actor,1958
The Big Country,Best Supporting Actor,1959
Ben-Hur,Best Supporting Actor,1960
Spartacus,Best Supporting Actor,1961
West Side Story,Best Supporting Actor,1962
Sweet Bird of Youth,Best Supporting Actor,1963
Hud,Best Supporting Actor,1964
Topkapi,Best Supporting Actor,1965
A Thousand Clowns,Best Supporting Actor,1966
The Fortune Cookie,Best Supporting Actor,1967
Cool Hand Luke,Best Supporting Actor,1968
The Subject Was Roses,Best Supporting Actor,1969
"They Shoot Horses, Don't They?",Best Supporting Actor,1970
Ryan's Daughter,Best Supporting Actor,1971
The Last Picture Show,Best Supporting Actor,1972
Cabaret,Best Supporting Actor,1973
The Paper Chase,Best Supporting Actor,1974
The Godfather Part II,Best Supporting Actor,1975
The Sunshine Boys,Best Supporting Actor,1976
All the President's Men,Best Supporting Actor,1977
Julia,Best Supporting Actor,1978
The Deer Hunter,Best Supporting Actor,1979
Being There,Best Supporting Actor,1980
Oridnary People,Best Supporting Actor,1981
Arthur,Best Supporting Actor,1982
An Officer and a Gentleman,Best Supporting Actor,1983
Terms of Endearment,Best Supporting Actor,1984
The Killing Fields,Best Supporting Actor,1985
Cocoon,Best Supporting Actor,1986
Hannah and Her Sisters,Best Supporting Actor,1987
The Untouchables,Best Supporting Actor,1988
A Fish Called Wanda,Best Supporting Actor,1989
Glory,Best Supporting Actor,1990
Good Fellas,Best Supporting Actor,1991
City Slickers,Best Supporting Actor,1992
Unforgiven,Best Supporting Actor,1993
The Fugitive,Best Supporting Actor,1994
Ed Wood,Best Supporting Actor,1995
The Usual Suspects,Best Supporting Actor,1996
Jerry Maguire,Best Supporting Actor,1997
Good Will Hunting,Best Supporting Actor,1998
Affliction,Best Supporting Actor,1999
The Cider House Rules,Best Supporting Actor,2000
Traffic,Best Supporting Actor,2001
Iris,Best Supporting Actor,2002
Adaptation,Best Supporting Actor,2003
Mystic River,Best Supporting Actor,2004
Million Dollar Baby,Best Supporting Actor,2005
Syriana,Best Supporting Actor,2006
Little Miss Sunshine,Best Supporting Actor,2007
No Country for Old Men,Best Supporting Actor,2008
The Dark Knight,Best Supporting Actor,2009
Inglourious Basterds,Best Supporting Actor,2010
The Fighter,Best Supporting Actor,2011
Beginning,Best Supporting Actor,2012
Django Unchained,Best Supporting Actor,2013
Dallas Buyers Club,Best Supporting Actor,2014
7th Heaven,Best Actress,1929
Coquette,Best Actress,1930
The Divorcee,Best Actress,1930
Min and Bill,Best Actress,1931
The Sin of Madelon Claudet,Best Actress,1932
Morning Glory,Best Actress,1934
It Happened One Night,Best Actress,1935
Dangerous,Best Actress,1936
The Great Ziegfeld,Best Actress,1937
The Good Earth,Best Actress,1938
Jezebel,Best Actress,1939
Gone with the Wind,Best Actress,1940
Kitty Foyle,Best Actress,1941
Suspicion,Best Actress,1940
Mrs. Miniver,Best Actress,1942
The Song of Bernadette,Best Actress,1944
